"Laikotarpis","Rodiklis","Matavimo vienetai","Reikšmė"
"2016","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","13,2"
"2015","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","14,0"
"2014","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","14,2"
"2013","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","14,5"
"2012","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","14,7"
"2011","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","14,7"
"2010","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","13,5"
"2009","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","13,1"
"2008","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","13,9"
"2007","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","13,9"
"2006","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","13,2"
"2005","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","12,5"
"2004","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","12,2"
"2003","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","11,3"
"2002","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","11,1"
"2001","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","10,5"
"2000","Legalių alkoholinių gėrimų suvartojimas, tenkantis vienam 15 metų ir vyresniam gyventojui","litrais, absoliutaus (100%) alkoholio","9,7"
