"Laikotarpis","Rodiklis","Ekonominės veiklos rūšis (EVRK 2 red.)","Apskritys","Matavimo vienetai","Reikšmė"
"2016","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","2728"
"2015","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","1984"
"2014","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","1685"
"2013","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","1553"
"2012","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","1401"
"2011","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","1273"
"2010","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","1637"
"2009","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","1844"
"2008","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","957"
"2007","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","606"
"2006","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","759"
"2005","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","773"
"2004","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","709"
"2003","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","621"
"2002","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","799"
"2001","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","590"
"2000","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","415"
"1999","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","247"
"1998","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","98"
"1997","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","107"
"1996","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","78"
"1995","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","37"
"1994","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","27"
"1993","Atitinkamais metais pradėtų bankroto procesų skaičius","Iš viso pagal ekonomines veiklos rūšis","Lietuvos Respublika","skaičius","6"
