"code";"en_long_title";"lt_long_title";"date";"value";"power"
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2006-Q1";3010097;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2006-Q2";3127343;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2006-Q3";3376029;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2006-Q4";3462443;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2007-Q1";3578440;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2007-Q2";3622041;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2007-Q3";3714379;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2007-Q4";3825315;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2008-Q1";3926259;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2008-Q2";4002783;1
