"Laikotarpis","Rodiklis","Europos individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (ECOICOP)","Matavimo vienetai","Reikšmė"
"2018M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","105,73"
"2018M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","117,34"
"2018M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","105,87"
"2018M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","117,07"
"2017M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","105,82"
"2017M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","115,98"
"2017M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","105,69"
"2017M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","117,52"
"2017M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","105,42"
"2017M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","117,30"
"2017M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","105,28"
"2017M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","118,26"
"2017M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","104,45"
"2017M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","117,28"
