date,deposit_interest_LTL,deposit_interest_not_LTL
1999 m. sausis,7,4.51
1999 m. vasaris,7.19,4.42
1999 m. kovas,7.06,4.44
1999 m. balandis,7.32,4.47
1999 m. gegužė,7.08,4.53
1999 m. birželis,7.14,4.49
1999 m. liepa,7.22,4.53
1999 m. rugpjūtis,7.49,4.5
1999 m. rugsėjis,7.4,4.49
1999 m. spalis,7.6,4.56
1999 m. lapkritis,7.89,4.54
1999 m. gruodis,8.39,4.66
2000 m. sausis,8.01,4.65
2000 m. vasaris,8.05,4.59
2000 m. kovas,7.85,4.58
2000 m. balandis,7.58,4.63
2000 m. gegužė,7.24,4.69
2000 m. birželis,7.21,4.72
2000 m. liepa,7.11,4.73
2000 m. rugpjūtis,6.89,4.71
2000 m. rugsėjis,6.75,4.72
2000 m. spalis,6.59,4.77
2000 m. lapkritis,6.46,4.89
2000 m. gruodis,6.64,5.02
2001 m. sausis,6.6,4.94
2001 m. vasaris,6.43,4.84
2001 m. kovas,6.3,4.75
2001 m. balandis,6.09,4.6
2001 m. gegužė,5.54,4.23
2001 m. birželis,5.18,3.98
2001 m. liepa,4.88,3.86
2001 m. rugpjūtis,4.85,3.73
2001 m. rugsėjis,4.69,3.52
2001 m. spalis,4.22,3.04
2001 m. lapkritis,4.14,2.76
2001 m. gruodis,4.14,2.43
2002 m. sausis,4.07,2.2
2002 m. vasaris,3.89,1.96
2002 m. kovas,3.66,1.89
2002 m. balandis,3.55,1.91
2002 m. gegužė,3.23,1.82
2002 m. birželis,2.95,1.82
2002 m. liepa,2.56,1.75
2002 m. rugpjūtis,2.54,1.71
2002 m. rugsėjis,2.54,1.67
2002 m. spalis,2.41,1.68
2002 m. lapkritis,2.45,1.66
2002 m. gruodis,2.58,1.71
2003 m. sausis,2.63,1.81
2003 m. vasaris,2.4,1.6
2003 m. kovas,2.23,1.68
2003 m. balandis,2.42,1.64
2003 m. gegužė,2.43,1.66
2003 m. birželis,2.43,1.61
2003 m. liepa,2.3,1.56
2003 m. rugpjūtis,2.27,1.52
2003 m. rugsėjis,2.24,1.49
2003 m. spalis,2.19,1.49
2003 m. lapkritis,2.08,1.37
2003 m. gruodis,2.27,1.51
2004 m. sausis,2.27,1.45
2004 m. vasaris,2.11,1.4
2004 m. kovas,2.14,1.37
2004 m. balandis,2.05,1.35
2004 m. gegužė,2.04,1.39
2004 m. birželis,2.09,1.35
2004 m. liepa,2.11,1.37
2004 m. rugpjūtis,2.01,1.35
2004 m. rugsėjis,2.04,1.5
2004 m. spalis,2.02,1.68
2004 m. lapkritis,2.07,1.77
2004 m. gruodis,2.2,1.99
