"Laikotarpis","Rodiklis","Matavimo vienetai","Reikšmė"
"2018M02","Mėnesinis emigrantų skaičius","asmenys","3018"
"2018M01","Mėnesinis emigrantų skaičius","asmenys","4458"
"2017M12","Mėnesinis emigrantų skaičius","asmenys","2554"
"2017M11","Mėnesinis emigrantų skaičius","asmenys","3282"
"2017M10","Mėnesinis emigrantų skaičius","asmenys","3259"
"2017M09","Mėnesinis emigrantų skaičius","asmenys","4248"
"2017M08","Mėnesinis emigrantų skaičius","asmenys","4445"
"2017M07","Mėnesinis emigrantų skaičius","asmenys","3811"
"2017M06","Mėnesinis emigrantų skaičius","asmenys","3478"
"2017M05","Mėnesinis emigrantų skaičius","asmenys","3331"
"2017M04","Mėnesinis emigrantų skaičius","asmenys","3713"
"2017M03","Mėnesinis emigrantų skaičius","asmenys","3691"
"2017M02","Mėnesinis emigrantų skaičius","asmenys","5783"
"2017M01","Mėnesinis emigrantų skaičius","asmenys","6330"
"2016M12","Mėnesinis emigrantų skaičius","asmenys","5440"
"2016M11","Mėnesinis emigrantų skaičius","asmenys","3490"
"2016M10","Mėnesinis emigrantų skaičius","asmenys","3904"
"2016M09","Mėnesinis emigrantų skaičius","asmenys","5142"
"2016M08","Mėnesinis emigrantų skaičius","asmenys","6499"
"2016M07","Mėnesinis emigrantų skaičius","asmenys","4610"
"2016M06","Mėnesinis emigrantų skaičius","asmenys","3938"
"2016M05","Mėnesinis emigrantų skaičius","asmenys","3821"
"2016M04","Mėnesinis emigrantų skaičius","asmenys","3523"
"2016M03","Mėnesinis emigrantų skaičius","asmenys","3482"
"2016M02","Mėnesinis emigrantų skaičius","asmenys","2869"
"2016M01","Mėnesinis emigrantų skaičius","asmenys","3615"
"2015M12","Mėnesinis emigrantų skaičius","asmenys","2768"
"2015M11","Mėnesinis emigrantų skaičius","asmenys","3039"
"2015M10","Mėnesinis emigrantų skaičius","asmenys","3401"
"2015M09","Mėnesinis emigrantų skaičius","asmenys","3951"
"2015M08","Mėnesinis emigrantų skaičius","asmenys","4965"
"2015M07","Mėnesinis emigrantų skaičius","asmenys","5033"
"2015M06","Mėnesinis emigrantų skaičius","asmenys","3319"
"2015M05","Mėnesinis emigrantų skaičius","asmenys","3732"
"2015M04","Mėnesinis emigrantų skaičius","asmenys","4846"
"2015M03","Mėnesinis emigrantų skaičius","asmenys","3968"
"2015M02","Mėnesinis emigrantų skaičius","asmenys","2671"
"2015M01","Mėnesinis emigrantų skaičius","asmenys","2840"
"2014M12","Mėnesinis emigrantų skaičius","asmenys","2168"
"2014M11","Mėnesinis emigrantų skaičius","asmenys","2552"
