,loan_interest_LTL,loan_interest_not_LTL
1999 m. sausis,15.52,13.2
1999 m. vasaris,15.8,13.18
1999 m. kovas,15.15,10.93
1999 m. balandis,14.94,13.62
1999 m. gegužė,15.14,13.53
1999 m. birželis,14.9,13.66
1999 m. liepa,14.72,13.17
1999 m. rugpjūtis,14.57,13.87
1999 m. rugsėjis,15.39,14.12
1999 m. spalis,16.02,13.74
1999 m. lapkritis,17.12,13.84
1999 m. gruodis,17.2,14.06
2000 m. sausis,16.48,14.58
2000 m. vasaris,15.56,13.47
2000 m. kovas,15.32,13.18
2000 m. balandis,15.04,13.19
2000 m. gegužė,15.23,12.17
2000 m. birželis,14.81,12.01
2000 m. liepa,14.12,10.71
2000 m. rugpjūtis,13.74,12.52
2000 m. rugsėjis,14.22,12.4
2000 m. spalis,13.96,12.22
2000 m. lapkritis,13.55,11.8
2000 m. gruodis,13.21,11.81
2001 m. sausis,13.12,13.59
2001 m. vasaris,12.93,13.04
2001 m. kovas,13.16,11.56
2001 m. balandis,12.69,10.84
2001 m. gegužė,12.15,10.96
2001 m. birželis,11.77,11.4
2001 m. liepa,11.95,11.81
2001 m. rugpjūtis,11.77,12.05
2001 m. rugsėjis,11.78,9.6
2001 m. spalis,11.47,8.85
2001 m. lapkritis,11.85,9.48
2001 m. gruodis,11.24,7.16
2002 m. sausis,10.88,7.76
2002 m. vasaris,11.37,9.14
2002 m. kovas,11.13,7.86
2002 m. balandis,10.84,7.44
2002 m. gegužė,11.65,7.33
2002 m. birželis,10.55,8.16
2002 m. liepa,10.62,7.98
2002 m. rugpjūtis,10.67,7.35
2002 m. rugsėjis,10.66,8.56
2002 m. spalis,10.43,6.62
2002 m. lapkritis,10.46,7.11
2002 m. gruodis,9.9,10.14
2003 m. sausis,10.17,8.72
2003 m. vasaris,9.97,11.2
2003 m. kovas,10.5,8.14
2003 m. balandis,10.31,6.95
2003 m. gegužė,10.28,7.48
2003 m. birželis,9.66,7.58
2003 m. liepa,9.05,6.41
2003 m. rugpjūtis,9.24,6.23
2003 m. rugsėjis,9.14,7.2
2003 m. spalis,8.98,7.6
2003 m. lapkritis,8.88,6.22
2003 m. gruodis,8.73,8.17
2004 m. sausis,8.66,4.82
2004 m. vasaris,8.82,4.73
2004 m. kovas,9.21,5.65
2004 m. balandis,9.89,5.18
2004 m. gegužė,9.99,4.53
2004 m. birželis,9.43,4.6
2004 m. liepa,9.3,4.85
2004 m. rugpjūtis,8.85,4.96
2004 m. rugsėjis,8.97,3.81
2004 m. spalis,10.18,4.84
2004 m. lapkritis,10.83,4.81
2004 m. gruodis,10.33,5.19
