,loan_interest_LTL,loan_value_LTL_in_LTL,loan_value_LTL_in_EUR,loan_interest_EUR,loan_value_EUR_in_LTL,loan_value_EUR_in_EUR
2004 10,9.41,40,11.6,4.45,9.7,2.8
2004 11,9.26,39.4,11.4,4.73,11,3.2
2004 12,8.79,52.5,15.2,4.84,14.8,4.3
2005 01,9.3,32.2,9.3,4.95,4.6,1.3
2005 02,5.65,109,31.6,5.27,3.2,0.9
2005 03,6.4,135.4,39.2,4.37,8.7,2.5
2005 04,8.99,75.8,21.9,4.59,8.5,2.5
2005 05,8.7,81.3,23.6,4.47,14,4.1
2005 06,8.23,89,25.8,4.02,17.7,5.1
2005 07,8.09,84.8,24.6,3.59,17.8,5.2
2005 08,8.18,88.7,25.7,3.98,13.9,4
2005 09,7.76,97.6,28.3,4.44,27.8,8
2005 10,7.44,97,28.1,4.04,16.4,4.7
2005 11,6.97,92.9,26.9,4.66,38.3,11.1
2005 12,6.28,126,36.5,4.29,14.7,4.3
2006 01,6.28,111.7,32.4,4.49,8.4,2.4
2006 02,7.51,81.7,23.7,4.33,11.6,3.4
2006 03,7.73,110.8,32.1,4.19,16.5,4.8
2006 04,7.79,113,32.7,4.08,19.2,5.6
2006 05,7.32,145.8,42.2,4.6,5,1.5
2006 06,7.16,145.1,42,4.62,6.2,1.8
2006 07,7.21,137.1,39.7,4.68,4.3,1.2
2006 08,7.39,142.9,41.4,5.48,3,0.9
2006 09,7.58,126.9,36.8,4.72,4.1,1.2
2006 10,7.89,132.1,38.2,5.09,3.3,1
2006 11,7.73,147.2,42.6,5.58,3.8,1.1
2006 12,7.44,145,42,6.22,2.8,0.8
2007 01,7.45,155.1,44.9,5.47,8.6,2.5
2007 02,7.65,127.6,36.9,5.34,7.7,2.2
2007 03,7.57,175.3,50.8,5.35,7.2,2.1
2007 04,7.33,179.6,52,5.51,7.8,2.3
2007 05,7.73,216.9,62.8,5.76,14.4,4.2
2007 06,8.6,184.4,53.4,5.92,18.4,5.3
2007 07,9.11,186.1,53.9,6.09,29,8.4
2007 08,9.19,181.6,52.6,6.22,40.7,11.8
2007 09,9.13,145.8,42.2,6.76,32.5,9.4
2007 10,9.34,157.9,45.7,6.51,45.2,13.1
2007 11,9.81,114.3,33.1,6.34,56.3,16.3
2007 12,10.3,105.5,30.6,6.64,62.4,18.1
2008 01,10.3,103.1,29.9,6.46,64.6,18.7
2008 02,10.52,113.3,32.8,6.47,63.3,18.3
2008 03,10.68,119.3,34.5,6.74,63.3,18.3
2008 04,10.73,163.7,47.4,6.87,86,24.9
2008 05,10.85,136.3,39.5,6.63,85.1,24.6
2008 06,10.81,137.9,39.9,7.35,56.5,16.4
2008 07,11.3,174,50.4,7.37,67.3,19.5
2008 08,11.03,127.4,36.9,9.75,52.1,15.1
2008 09,11.23,121.9,35.3,9.87,49.3,14.3
2008 10,11.9,94,27.2,9.6,53.6,15.5
2008 11,12.88,34.2,9.9,11.38,34.3,9.9
2008 12,14.03,24.3,7,11.56,27.3,7.9
2009 01,16.2,14.9,4.3,8.71,20.7,6
2009 02,15.91,18.9,5.5,8.35,23.4,6.8
2009 03,15.69,25.2,7.3,9.68,34.7,10.1
2009 04,15.79,26.8,7.7,7.85,38.7,11.2
2009 05,16.61,26,7.5,7.82,39.5,11.4
2009 06,16.22,29.7,8.6,9.83,34.6,10
2009 07,16.67,29.8,8.6,8.97,34.9,10.1
2009 08,16.67,27.5,8,9.68,32.8,9.5
2009 09,17.14,27.6,8,9.03,40.2,11.7
2009 10,16.39,27,7.8,9.04,34.8,10.1
2009 11,16.43,23.3,6.7,8.2,48,13.9
2009 12,16.76,39.4,11.4,9.76,30,8.7
2010 01,15.58,30.8,8.9,12.22,18.8,5.5
2010 02,15.73,24.8,7.2,11.49,18.1,5.2
2010 03,16.85,28,8.1,7.64,42.6,12.3
2010 04,14.64,34.7,10.1,8.27,32.1,9.3
2010 05,15.76,30.8,8.9,8.76,27.7,8
2010 06,16.11,26.6,7.7,7.92,32.2,9.3
2010 07,15.28,30.5,8.8,7.82,35.6,10.3
2010 08,14.86,33.1,9.6,8.21,38.7,11.2
2010 09,14.91,29.4,8.5,8.26,36.5,10.6
2010 10,13.16,36,10.4,7.49,39.7,11.5
2010 11,14.84,27.1,7.9,7.8,29.2,8.5
2010 12,15.08,27.7,8,8.78,28.5,8.3
2011 01,14.39,28.7,8.3,7.59,21.1,6.1
2011 02,15.18,27.9,8.1,8.78,17.4,5
2011 03,14.02,41.8,12.1,8.76,28.8,8.4
2011 04,12.83,40.9,11.8,8.28,23.8,6.9
2011 05,12.42,44,12.7,8.46,20.8,6
2011 06,12.45,47.2,13.7,8.07,23.7,6.9
2011 07,11.53,50.3,14.6,7.68,27.7,8
2011 08,11.79,50.6,14.7,7.59,24.1,7
2011 09,12.01,43.3,12.5,7.58,23.6,6.8
2011 10,10.77,46.2,13.4,8.16,21.7,6.3
2011 11,12.18,33.7,9.8,8.93,19.3,5.6
2011 12,13.19,27,7.8,9.14,20.5,5.9
2012 01,13.4,25.9,7.5,8.67,18.7,5.4
2012 02,13.47,29.1,8.4,9.16,21.7,6.3
2012 03,13.27,40.6,11.8,10.06,19.4,5.6
2012 04,13.23,41.9,12.1,10.05,17.1,5
2012 05,12.7,48.4,14,8.38,25.1,7.3
2012 06,13.09,45.5,13.2,10.74,15.8,4.6
2012 07,13.11,43.1,12.5,9.36,18.8,5.5
2012 08,12.95,45.3,13.1,7.79,23.4,6.8
2012 09,13.38,35,10.1,8.85,18.9,5.5
2012 10,12.79,40.3,11.7,8.47,21.7,6.3
2012 11,13.1,34.1,9.9,8.34,19.5,5.7
2012 12,12.07,30.6,8.8,11.43,11.6,3.4
2013 01,13.5,38.7,11.2,11.46,13.5,3.9
2013 02,13.98,35.7,10.3,10.45,15.3,4.4
2013 03,14.21,40.5,11.7,11.36,15.7,4.5
