date,cash,deposits_1d,deposits_2m,deposits_3m
1993 12,790.4,1357,525,0
1994 01,795.5,1345.2,593.8,0
1994 02,890.5,1288.5,692.3,0
1994 03,932.2,1252.4,773.8,0
1994 04,974.7,1182.9,871.2,0
1994 05,995.3,1238.5,982.5,0
1994 06,1072.2,1206.8,1062.3,0
1994 07,1142.5,1246.2,1149.1,0
1994 08,1119.3,1309.1,1245.1,0
1994 09,1157.9,1376.9,1308.4,0
1994 10,1224.8,1426.9,1351.2,0
1994 11,1242.6,1538.5,1367.2,0
1994 12,1334.4,1589.6,1485.9,0
1995 01,1224.7,1619.2,1532.7,0
1995 02,1234,1620.5,1595.2,0
1995 03,1251.1,1627.7,1630.1,0
1995 04,1297.9,1561.4,1679.3,0
1995 05,1331.3,1635.8,1670.1,0
1995 06,1468.1,1681.2,1687.4,0
1995 07,1594.9,1749.7,1786.5,0
1995 08,1596.3,1849.9,1775.3,0
1995 09,1668.5,1929.5,1790.6,0
1995 10,1683.8,2049.9,1807.7,0
1995 11,1702.9,2090.8,1776.4,0
1995 12,1906.7,2119.1,1666.1,0
1996 01,1695.5,2021.7,1509.4,0
1996 02,1630,1923.3,1409.8,0
1996 03,1665.7,1899,1345.9,0
1996 04,1669.8,1961.2,1314.6,0
1996 05,1741.3,2041.4,1269.3,0
1996 06,1911.7,1900,1240.3,0
1996 07,1960.3,1915.7,1188,0
1996 08,2000.9,2093.9,1231.1,0
1996 09,2021.4,2088.7,1211.9,0
1996 10,1826.9,2038.1,1211.7,0
1996 11,1797.9,2056.1,1230.3,0
1996 12,1897.9,2293.8,1323.8,0
1997 01,1812.8,2190.6,1395.7,0
1997 02,1875.1,2134.9,1418.9,0
1997 03,1971,2206.6,1441.9,0
1997 04,1945.4,2397.1,1463.1,0
1997 05,2014,2273.2,1350.6,0
1997 06,2163.6,2396.7,1344.2,0
1997 07,2221.3,2501.8,1361.1,0
1997 08,2245.5,2559.2,1411.5,0
1997 09,2253.9,2774.2,1461.6,0
1997 10,2337.6,2932.3,1600.8,0
1997 11,2403.2,3067.2,1556,0
1997 12,2533.7,3376.4,1539.2,0
1998 01,2431.8,3143.9,1600,0
1998 02,2514.1,3128.5,1675.1,0
1998 03,2487.9,3151.3,1650.5,0
1998 04,2488.5,3175.6,1682,0
1998 05,2561.2,3142.7,1739.5,0
1998 06,2723.8,3209.9,1767.7,0
1998 07,2821.6,3164.2,1866.9,0
1998 08,2707.2,3365.7,1886.8,0
1998 09,2551.5,3399.7,1846.2,0
1998 10,2592.9,3389.8,1918,0
1998 11,2669.7,3558.8,1920.3,0
1998 12,2798,3642.7,2017.7,0
1999 01,2687.1,3277.7,2160.5,0
1999 02,2700,3076.8,2209.4,0
1999 03,2660.5,3260.4,2268.8,0
1999 04,2805.5,3682.2,2439.1,0
1999 05,2913,3363.1,2658.1,0
1999 06,2939.3,3310.5,2739.6,0
1999 07,2946.2,3316.7,2855,0
1999 08,2799,3342.2,2951,0
1999 09,2737.4,3233.9,2982.2,0
1999 10,2703.9,3231.1,2960.3,0
1999 11,2572.3,3258.8,2942,0
1999 12,2739,3333.3,3030,0
2000 01,2558.8,3130.7,3099.2,0
