"code";"en_long_title";"lt_long_title";"date";"value";"power"
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2015-01";10208.5;1000000
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2015-02";10408.4;1000000
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2015-03";10428.0;1000000
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2015-04";10690.1;1000000
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2015-05";10774.5;1000000
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2015-06";10667.5;1000000
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2015-07";10884.0;1000000
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2015-08";11035.1;1000000
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2015-09";11052.4;1000000
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2015-10";11516.1;1000000
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2015-11";11815.4;1000000
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2015-12";12130.7;1000000
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2016-01";11826.1;1000000
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2016-02";11974.1;1000000
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2016-03";12069.5;1000000
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2016-04";12202.4;1000000
"BPS.M.L21.A.1.U2.300.000.LT.N.P____.E.SR";"Monetary financial institutions balance sheet and monetary statistics; Monthly; Overnight deposits; Total; Outstanding amounts; Euro area residents; Other general government and other resident sectors; Total; Lithuania; Neither seasonally or working day adjusted; Monetary financial institutions and central government; Euro";"Pinigų finansų įstaigų balanso ir pinigų statistika; Mėnesinis; Vienadieniai indėliai; Iš viso; Likučiai; Euro zonos rezidentai; Kita valdžia ir kiti rezidentų sektoriai; Iš viso; Lietuva; Dėl sezoniškumo ir darbo dienos nepakoreguota; Pinigų finansų įstaigos ir centrinė valdžia; Euras";"2016-05";12105.5;1000000
