"Laikotarpis","Rodiklis","Mokesčiai","Mokėtojai","Matavimo vienetai","Reikšmė"
"2017","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Įmonės","tūkst. EUR",
"2017","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Įmonės","tūkst. EUR","631030"
"2017","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Įmonės","tūkst. EUR","3293706"
"2017","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Įmonės","tūkst. EUR","1326765"
"2017","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Gyventojai","tūkst. EUR","1626751"
"2017","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Gyventojai","tūkst. EUR",
"2017","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Gyventojai","tūkst. EUR",
"2017","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Gyventojai","tūkst. EUR",
"2016","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Įmonės","tūkst. EUR",
"2016","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Įmonės","tūkst. EUR","627648"
"2016","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Įmonės","tūkst. EUR","2989581"
"2016","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Įmonės","tūkst. EUR","1201764"
"2016","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Gyventojai","tūkst. EUR","1547842"
"2016","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Gyventojai","tūkst. EUR",
"2016","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Gyventojai","tūkst. EUR",
"2016","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Gyventojai","tūkst. EUR",
"2015","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Įmonės","tūkst. EUR",
"2015","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Įmonės","tūkst. EUR","573882"
"2015","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Įmonės","tūkst. EUR","2854416"
"2015","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Įmonės","tūkst. EUR","1146293"
"2015","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Gyventojai","tūkst. EUR","1439500"
"2015","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Gyventojai","tūkst. EUR",
"2015","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Gyventojai","tūkst. EUR",
"2015","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Gyventojai","tūkst. EUR",
"2014","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Įmonės","tūkst. EUR",
"2014","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Įmonės","tūkst. EUR","499767"
"2014","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Įmonės","tūkst. EUR","2733564"
"2014","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Įmonės","tūkst. EUR","1061046"
"2014","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Gyventojai","tūkst. EUR","1325394"
"2014","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Gyventojai","tūkst. EUR",
"2014","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Gyventojai","tūkst. EUR",
"2014","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Gyventojai","tūkst. EUR",
