"Laikotarpis","Rodiklis","Matavimo vienetai","Reikšmė"
"2016","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","349"
"2015","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","363"
"2014","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","366"
"2013","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","342"
"2012","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","322"
"2011","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","330"
"2010","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","309"
"2009","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","299"
"2008","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","283"
"2007","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","276"
"2006","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","263"
"2005","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","254"
"2004","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","229"
"2003","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","253"
"2002","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","269"
"2001","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","244"
"2000","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","272"
"1999","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","295"
"1998","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","298"
"1997","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","254"
"1996","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","202"
"1995","Kelionių agentūrų ir kelionių organizatorių įmonių skaičius","vnt.","279"
